"source_id","priority_tier","authority","domain","title","url","coverage_tags","version_signal","last_checked_utc","status","notes"
"ECS-012","A","official_ms_support","tables","Using structured references with Excel tables","https://support.microsoft.com/en-us/office/using-structured-references-with-excel-tables-f5ed2452-2337-4f71-bed3-c8ae6d2b276e","table_refs|structured_ref_syntax","current","2026-02-28T11:15:00Z","screened","Primary table formula syntax source"
"ECS-013","A","official_ms_support","tables","Use calculated columns in an Excel table","https://support.microsoft.com/en-au/office/use-calculated-columns-in-an-excel-table-873fbac6-7110-4300-8f6f-aafa2ea11ce8","table_auto_expand|calculated_columns","current","2026-02-28T11:15:00Z","screened","Auto-fill and expansion behavior"
"ECS-014","A","official_ms_support","tables","Use calculated columns in a table in Excel for the web","https://support.microsoft.com/en-us/office/use-calculated-columns-in-a-table-in-excel-for-the-web-f048e0fe-120f-4717-9f07-50a0b1410263","table_auto_expand|web_behavior","current","2026-02-28T11:15:00Z","screened","Web parity source"
"ECS-015","A","official_ms_learn","objects","ListObject object Excel","https://learn.microsoft.com/en-us/office/vba/api/excel.listobject","listobject_api|table_lifecycle","current","2026-02-28T11:15:00Z","screened","Supplemental object model sourceECS-016"
"ECS-017","A","official_ms_support","types","IS functions","https://support.microsoft.com/en-us/office/is-functions-0f2d7971-6019-40a0-a171-f2d869135665","type_predicates|error_detection","current","2026-02-28T11:15:00Z","screened","Value-class predicates"
"ECS-018","A","official_ms_support","types","N function","https://support.microsoft.com/en-au/office/n-function-a624cad1-3635-4208-b54a-29733d1278c9","type_coercion|date_serials","current","2026-02-28T11:15:00Z","screened","Numeric coercion behavior"
"ECS-019","A","official_ms_support","types","VALUE function","https://support.microsoft.com/en-us/office/value-function-257d0108-07dc-437d-ae1c-bc2d3953d8c2","type_coercion|text_to_number","current","2026-02-28T11:15:00Z","screened","Text-to-number coercion"
"ECS-020","A","official_ms_support","types","VALUETOTEXT function","https://support.microsoft.com/en-au/office/valuetotext-function-5fff61a2-301a-4ab2-9ffa-0a5242a08fea","type_coercion|rendering","current","2026-02-28T11:15:00Z","screened","Controlled value-to-text rendering"
"ECS-021","A","official_ms_support","types","Excel data types stocks and geography","https://support.microsoft.com/office/excel-data-types-stocks-and-geography-61a33056-9935-484f-8ac8-f1a89e210877","linked_data_types|compound_values","current","2026-02-28T11:15:00Z","screened","Extended data types baseline"
"ECS-022","A","official_ms_support","types","What linked data types are available in Excel","https://support.microsoft.com/en-us/office/what-linked-data-types-are-available-in-excel-6510ab58-52f6-4368-ba0f-6a76c0190772","linked_data_types|availability","contains_deprecation_notes","2026-02-28T11:15:00Z","screened","Availability and deprecation notes"
"ECS-023","A","official_ms_support","types","Linked data types FAQ and tips","https://support.microsoft.com/en-us/office/linked-data-types-faq-and-tips-d48d6394-c83a-43cd-9d94-78257102f054","linked_data_types|limitations","current","2026-02-28T11:15:00Z","screened","Requirements and limits"
"ECS-024","A","official_ms_support","types","How to write formulas that reference data types","https://support.microsoft.com/en-au/office/how-to-write-formulas-that-reference-data-types-295d95e2-1e8a-4337-bfa9-0582b815c0b4","linked_data_formula_syntax|dot_operator","current","2026-02-28T11:15:00Z","screened","Field dereference syntax guidance"
"ECS-025","A","official_ms_support","types","FIELDVALUE function","https://support.microsoft.com/en-au/office/fieldvalue-function-4a579c45-7326-4168-b556-df8b5685175b","linked_data_formula_syntax|field_extraction","current","2026-02-28T11:15:00Z","screened","Field extraction function"
"ECS-026","A","official_ms_support","formatting","Review guidelines for customizing a number format","https://support.microsoft.com/en-us/office/review-guidelines-for-customizing-a-number-format-c0a1d1fa-d3f4-4018-96b7-9c9354dd99f5","number_format_grammar","current","2026-02-28T11:15:00Z","screened","Number format grammar anchor"
"ECS-027","A","official_ms_support","formatting","Create a custom number format","https://support.microsoft.com/en-us/office/create-a-custom-number-format-78f2a361-936b-4c03-8772-09fab54be7f4","number_format_practice","current","2026-02-28T11:15:00Z","screened","Custom format practice and examples"
"ECS-028","A","official_ms_support","formatting","Use conditional formatting to highlight information","https://support.microsoft.com/en-us/office/use-conditional-formatting-to-highlight-information-fed60dfa-1d3f-4e13-9ecb-f1951ff89d7f","conditional_formatting_user_model","current","2026-02-28T11:15:00Z","screened","Primary conditional formatting guidance"
"ECS-029","A","official_ms_support","formatting","Create conditional formulas","https://support.microsoft.com/en-us/office/create-conditional-formulas-ca916c57-abd8-4b44-997c-c309b7307831","conditional_formula_rules","current","2026-02-28T11:15:00Z","screened","Formula-based CF rules"
"ECS-030","A","official_ms_learn_openxml","formatting","Working with conditional formatting Open XML","https://learn.microsoft.com/en-us/office/open-xml/spreadsheet/working-with-conditional-formatting","conditional_formatting_ooxml","current","2026-02-28T11:15:00Z","screened","Schema-level conditional formatting reference"
"ECS-031","A","official_ms_support","formatting","Merge and unmerge cells in Excel","https://support.microsoft.com/en-us/office/merge-and-unmerge-cells-in-excel-5cbd15d5-9375-4540-907f-c673a93fcedf","merge_cells_behavior","current","2026-02-28T11:15:00Z","screened","Merge behavior guidance"
"ECS-032","A","official_ms_support","formatting","Find merged cells","https://support.microsoft.com/en-us/office/find-merged-cells-d02b2a5a-a08d-4641-8d4d-b3f233daca2c","merge_cells_discovery","current","2026-02-28T11:15:00Z","screened","Operational impact source"
"ECS-033","A","official_ms_support","limits","Excel specifications and limits","https://support.microsoft.com/en-us/office/excel-specifications-and-limits-1672b34d-7043-467e-8e27-269d656771c3","grid_limits|format_limits|calc_limits","current","2026-02-28T11:15:00Z","screened","Critical compatibility limits baseline"
"ECS-034","A","official_ms_support","versioning","Compatibility Versions","https://support.microsoft.com/en-us/office/compatibility-versions-49f5d3bf-d9a4-47a3-9db8-e776f664cbf9","compat_versioning|function_behavior_deltas","contains_2026_rollout_notes","2026-02-28T11:15:00Z","screened","Workbook-scoped compatibility setting"
"ECS-035","A","official_ms_learn","versioning","Overview of update channels for Microsoft 365 Apps","https://learn.microsoft.com/en-us/microsoft-365-apps/updates/overview-update-channels","channel_rollout","current","2026-02-28T11:15:00Z","screened","Channel behavior baseline"
"ECS-036","A","official_ms_learn","versioning","Release notes for Monthly Enterprise Channel","https://learn.microsoft.com/en-us/officeupdates/monthly-enterprise-channel","channel_release_notes","current","2026-02-28T11:15:00Z","screened","Feature arrival triangulation source"
"ECS-037","A","official_ms_learn","calc","Excel Recalculation","https://learn.microsoft.com/en-us/office/client-developer/excel/excel-recalculation","volatile_functions|calc_behavior","current","2026-02-28T11:15:00Z","screened","Volatile function and recalc behavior anchor"
"ECS-038","A","official_ms_learn","calc","Excel performance tips for optimizing performance obstructions","https://learn.microsoft.com/en-us/office/vba/excel/concepts/excel-performance/excel-tips-for-optimizing-performance-obstructions","perf_guidance|volatile_risk","current","2026-02-28T11:15:00Z","screened","Includes indirect and volatile risk guidance"
"ECS-039","A","official_ms_support","functions","NOW function","https://support.microsoft.com/en-us/office/now-function-3337fd29-145a-4347-b2e6-20c904739c46","volatile|format_behavior","current","2026-02-28T11:15:00Z","screened","Notes general-format auto-change behavior"
"ECS-040","A","official_ms_support","functions","RTD function","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","external_realtime_data","current","2026-02-28T11:15:00Z","screened","Primary worksheet RTD source"
"ECS-041","A","official_ms_support","functions","LET function","https://support.microsoft.com/en-us/office/let-function-34842dd8-b92b-4d3f-b325-b8b8f9908999","functional_formula","current","2026-02-28T11:15:00Z","screened","Core functional formula feature"
"ECS-042","A","official_ms_support","functions","LAMBDA function","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","functional_formula","current","2026-02-28T11:15:00Z","screened","User-defined workbook-native functions"
"ECS-043","A","official_ms_support","functions","BYROW function","https://support.microsoft.com/en-us/office/byrow-function-2e04c677-78c8-4e6b-8c10-a4602f2602bb","functional_helper|dynamic_array","current","2026-02-28T11:15:00Z","screened","LAMBDA helper family"
"ECS-044","A","official_ms_support","functions","REDUCE function","https://support.microsoft.com/en-us/office/reduce-function-42e39910-b345-45f3-84b8-0642b568b7cb","functional_helper|dynamic_array","current","2026-02-28T11:15:00Z","screened","LAMBDA helper family"
"ECS-045","A","official_ms_support","functions","SCAN function","https://support.microsoft.com/en-us/office/scan-function-d58dfd11-9969-4439-b2dc-e7062724de29","functional_helper|dynamic_array","current","2026-02-28T11:15:00Z","screened","LAMBDA helper family"
"ECS-046","A","official_ms_support","functions","MAP function","https://support.microsoft.com/en-us/office/map-function-48006093-f97c-47c1-bfcc-749263bb1f01","functional_helper|dynamic_array","current","2026-02-28T11:15:00Z","screened","LAMBDA helper family"
"ECS-047","A","official_ms_support","functions","MAKEARRAY function","https://support.microsoft.com/en-us/office/makearray-function-b80da5ad-b338-4149-a523-5b221da09097","functional_helper|dynamic_array","current","2026-02-28T11:15:00Z","screened","LAMBDA helper family"
"ECS-048","A","official_ms_support","functions","ISOMITTED function","https://support.microsoft.com/en-us/office/isomitted-function-831d6fbc-0f07-40c4-9c5b-9c73fd1d60c1","functional_helper|lambda_optional_args","current","2026-02-28T11:15:00Z","screened","LAMBDA optional-arg helper"
"ECS-049","A","official_ms_support","functions","RANDARRAY function","https://support.microsoft.com/en-us/office/randarray-function-21261e55-3bec-4885-86a6-8b0a47fd4d33","dynamic_array|random_generation","current","2026-02-28T11:15:00Z","screened","Dynamic array random generator"
"ECS-050","A","official_ms_learn","api_guide","Data types used by Excel","https://learn.microsoft.com/en-us/office/client-developer/excel/data-types-used-by-excel","xloper12|bridge_reference","legacy_but_relevant","2026-02-28T11:15:00Z","screened","Guide-only bridge not worksheet semantics spec"
"ECS-051","B","official_ms_blog","history","Preview of Dynamic Arrays in Excel","https://techcommunity.microsoft.com/blog/excelblog/preview-of-dynamic-arrays-in-excel/252944","dynamic_arrays|historical_rollout","legacy_preview","2026-02-28T11:15:00Z","screened","Secondary historical context"
"ECS-052","B","official_ms_qna","triangulation","Dynamic Array functions thread with support links","https://learn.microsoft.com/en-us/answers/questions/5047632/dynamic-array-funtions","dynamic_arrays|link_discovery","legacy_thread","2026-02-28T11:15:00Z","screened","Secondary triangulation source"
"ECS-053","A","official_ms_support","functions","CUBESET function","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","cube_family|applies_to","current","2026-02-28T11:45:00Z","screened","Used for cube-context and platform applies-to probe"
"ECS-054","A","official_ms_support","functions","CUBEVALUE function","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","cube_family|applies_to","current","2026-02-28T11:45:00Z","screened","Used for cube-context and platform applies-to probe"
"ECS-055","A","official_ms_support","functions","GROUPBY function","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","dynamic_array|new_function|applies_to","current","2026-02-28T11:45:00Z","screened","Used for newer function availability probe"
"ECS-056","A","official_ms_support","functions","PIVOTBY function","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","dynamic_array|new_function|applies_to","current","2026-02-28T11:45:00Z","screened","Used for newer function availability probe"
"ECS-057","A","official_ms_support","functions","INDIRECT function","https://support.microsoft.com/en-us/office/indirect-function-474b3a3a-8a26-4f44-b491-92b6306fa261","critical_function|reference_indirection","current","2026-02-28T12:05:00Z","screened","Tier-5 deep semantics anchor"
"ECS-058","A","official_ms_support","functions","OFFSET function","https://support.microsoft.com/en-us/office/offset-function-c8de19ae-dd79-4b9b-a14e-b4d906d11b66","critical_function|reference_shape","current","2026-02-28T12:05:00Z","screened","Tier-5 deep semantics anchor"
"ECS-059","A","official_ms_support","functions","TODAY function","https://support.microsoft.com/en-us/office/today-function-5eb3078d-a82c-4736-8930-2f51a028fdd9","critical_function|date_serial","current","2026-02-28T12:05:00Z","screened","Tier-5 deep semantics anchor"
"ECS-060","A","official_ms_support","dates","Date systems in Excel","https://support.microsoft.com/en-us/office/date-systems-in-excel-e7fe7167-48a9-4b96-bb53-5612a800b487","date_system|serial_model","current","2026-02-28T12:05:00Z","screened","Coercion/date-serial context anchor"
"ECS-061","A","open_source_repo","implementation_watch","ExcelFinancialFunctions (F#)","https://github.com/fsprojects/ExcelFinancialFunctions","financial_functions|fsharp_impl|test_suite_methodology","current","2026-02-28T19:58:00Z","watchlist","Prominent investigation target for financial-function semantics and high-quality testing approach"
"ECS-062","B","official_ms_support","functions","CELL function","https://support.microsoft.com/en-us/office/cell-function-51bd39a5-f338-4dbe-a33f-955d67c2b2cf","interesting_function|function_semantics|tier5","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-063","B","official_ms_support","functions","INFO function","https://support.microsoft.com/en-us/office/info-function-725f259a-0e4b-49b3-8b52-58815c69acae","interesting_function|function_semantics|tier5","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-064","B","official_ms_support","functions","BYCOL function","https://support.microsoft.com/en-us/office/bycol-function-58463999-7de5-49ce-8f38-b7f7a2192bfb","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-065","B","official_ms_support","functions","CHOOSECOLS function","https://support.microsoft.com/en-us/office/choosecols-function-bf117976-2722-4466-9b9a-1c01ed9aebff","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-066","B","official_ms_support","functions","CHOOSEROWS function","https://support.microsoft.com/en-us/office/chooserows-function-51ace882-9bab-4a44-9625-7274ef7507a3","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-067","B","official_ms_support","functions","CUBEKPIMEMBER function","https://support.microsoft.com/en-us/office/cubekpimember-function-744608bf-2c62-42cd-b67a-a56109f4b03b","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-068","B","official_ms_support","functions","CUBEMEMBER function","https://support.microsoft.com/en-us/office/cubemember-function-0f6a15b9-2c18-4819-ae89-e1b5c8b398ad","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-069","B","official_ms_support","functions","CUBEMEMBERPROPERTY function","https://support.microsoft.com/en-us/office/cubememberproperty-function-001e57d6-b35a-49e5-abcd-05ff599e8951","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-070","B","official_ms_support","functions","CUBERANKEDMEMBER function","https://support.microsoft.com/en-us/office/cuberankedmember-function-07efecde-e669-4075-b4bf-6b40df2dc4b3","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-071","B","official_ms_support","functions","CUBESETCOUNT function","https://support.microsoft.com/en-us/office/cubesetcount-function-c4c2a438-c1ff-4061-80fe-982f2d705286","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-072","B","official_ms_support","functions","DROP function","https://support.microsoft.com/en-us/office/drop-function-1cb4e151-9e17-4838-abe5-9ba48d8c6a34","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-073","B","official_ms_support","functions","ENCODEURL function","https://support.microsoft.com/en-us/office/encodeurl-function-07c7fb90-7c60-4bff-8687-fac50fe33d0e","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-074","B","official_ms_support","functions","EXPAND function","https://support.microsoft.com/en-us/office/expand-function-7433fba5-4ad1-41da-a904-d5d95808bc38","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-075","B","official_ms_support","functions","FILTER function","https://support.microsoft.com/en-us/office/filter-function-f4f7cb66-82eb-4767-8f7c-4877ad80c759","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-076","B","official_ms_support","functions","FILTERXML function","https://support.microsoft.com/en-us/office/filterxml-function-4df72efc-11ec-4951-86f5-c1374812f5b7","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-077","B","official_ms_support","functions","HSTACK function","https://support.microsoft.com/en-us/office/hstack-function-98c4ab76-10fe-4b4f-8d5f-af1c125fe8c2","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-078","B","official_ms_support","functions","SEQUENCE function","https://support.microsoft.com/en-us/office/sequence-function-57467a98-57e0-4817-9f14-2eb78519ca90","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-079","B","official_ms_support","functions","SORT function","https://support.microsoft.com/en-us/office/sort-function-22f63bd0-ccc8-492f-953d-c20e8e44b86c","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-080","B","official_ms_support","functions","SORTBY function","https://support.microsoft.com/en-us/office/sortby-function-cd2d7a62-1b93-435c-b561-d6a35134f28f","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-081","B","official_ms_support","functions","STOCKHISTORY function","https://support.microsoft.com/en-us/office/stockhistory-function-1ac8b5b3-5f62-4d94-8ab8-7504ec7239a8","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-082","B","official_ms_support","functions","TAKE function","https://support.microsoft.com/en-us/office/take-function-25382ff1-5da1-4f78-ab43-f33bd2e4e003","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-083","B","official_ms_support","functions","TOCOL function","https://support.microsoft.com/en-us/office/tocol-function-22839d9b-0b55-4fc1-b4e6-2761f8f122ed","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-084","B","official_ms_support","functions","TOROW function","https://support.microsoft.com/en-us/office/torow-function-b90d0964-a7d9-44b7-816b-ffa5c2fe2289","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-085","B","official_ms_support","functions","TRANSPOSE function","https://support.microsoft.com/en-us/office/transpose-function-ed039415-ed8a-4a81-93e9-4b6dfac76027","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-086","B","official_ms_support","functions","TRIMRANGE function","https://support.microsoft.com/en-us/office/trimrange-function-d7812248-3bc5-4c6b-901c-1afa9564f999","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-087","B","official_ms_support","functions","UNIQUE function","https://support.microsoft.com/en-us/office/unique-function-c5ab87fd-30a3-4ce9-9d1a-40204fb85e1e","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-088","B","official_ms_support","functions","VSTACK function","https://support.microsoft.com/en-us/office/vstack-function-a4b86897-be0f-48fc-adca-fcc10d795a9c","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-089","B","official_ms_support","functions","WEBSERVICE function","https://support.microsoft.com/en-us/office/webservice-function-0546a35a-ecc6-4739-aed7-c0b7ce1562c4","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-090","B","official_ms_support","functions","WRAPCOLS function","https://support.microsoft.com/en-us/office/wrapcols-function-d038b05a-57b7-4ee0-be94-ded0792511e2","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-091","B","official_ms_support","functions","WRAPROWS function","https://support.microsoft.com/en-us/office/wraprows-function-796825f3-975a-4cee-9c84-1bbddf60ade0","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-092","B","official_ms_support","functions","XLOOKUP function","https://support.microsoft.com/en-us/office/xlookup-function-b7fd680e-6d10-43e6-84f9-88eae8bf5929","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-093","B","official_ms_support","functions","XMATCH function","https://support.microsoft.com/en-us/office/xmatch-function-d966da31-7a6b-4a13-a1c6-5a33ed6a0312","interesting_function|function_semantics|tier4","current","2026-02-28T18:36:16Z","queued_capture","Auto-seeded from function_interest_index for full tier-5/4 function source coverage; not yet screened in detail."
"ECS-094","B","official_ms_support","functions","ADDRESS function","https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
"ECS-095","B","official_ms_support","functions","AREAS function","https://support.microsoft.com/en-us/office/areas-function-8392ba32-7a41-43b3-96b0-3695d2ec6152","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
"ECS-096","B","official_ms_support","functions","COLUMN function","https://support.microsoft.com/en-us/office/column-function-44e8c754-711c-4df3-9da4-47a55042554b","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
"ECS-097","B","official_ms_support","functions","COLUMNS function","https://support.microsoft.com/en-us/office/columns-function-4e8e7b4e-e603-43e8-b177-956088fa48ca","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
"ECS-098","B","official_ms_support","functions","DOLLAR function","https://support.microsoft.com/en-us/office/dollar-function-a6cd05d9-9740-4ad3-a469-8109d18ff611","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
"ECS-099","B","official_ms_support","functions","FIXED function","https://support.microsoft.com/en-us/office/fixed-function-ffd5723c-324c-45e9-8b96-e41be2a8274a","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
"ECS-100","B","official_ms_support","functions","FORMULATEXT function","https://support.microsoft.com/en-us/office/formulatext-function-0a786771-54fd-4ae2-96ee-09cda35439c8","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
"ECS-101","B","official_ms_support","functions","INDEX function","https://support.microsoft.com/en-us/office/index-function-a5dcf0dd-996d-40a4-a822-b56b061328bd","interesting_function|function_semantics|tier3","current","2026-02-28T20:06:58Z","queued_capture","Auto-seeded from tier-3 reason-code source binding pass for ECS-BL-11 hardening."
