"source_id","priority_tier","authority","domain","title","url","coverage_tags","status","notes"
"ECS-045","A","official_ms_support","functions","SCAN function","https://support.microsoft.com/en-us/office/scan-function-d58dfd11-9969-4439-b2dc-e7062724de29","functional_helper|dynamic_array","screened","LAMBDA helper family"
"ECS-046","A","official_ms_support","functions","MAP function","https://support.microsoft.com/en-us/office/map-function-48006093-f97c-47c1-bfcc-749263bb1f01","functional_helper|dynamic_array","screened","LAMBDA helper family"
"ECS-047","A","official_ms_support","functions","MAKEARRAY function","https://support.microsoft.com/en-us/office/makearray-function-b80da5ad-b338-4149-a523-5b221da09097","functional_helper|dynamic_array","screened","LAMBDA helper family"
"ECS-048","A","official_ms_support","functions","ISOMITTED function","https://support.microsoft.com/en-us/office/isomitted-function-831d6fbc-0f07-40c4-9c5b-9c73fd1d60c1","functional_helper|lambda_optional_args","screened","LAMBDA optional-arg helper"
"ECS-049","A","official_ms_support","functions","RANDARRAY function","https://support.microsoft.com/en-us/office/randarray-function-21261e55-3bec-4885-86a6-8b0a47fd4d33","dynamic_array|random_generation","screened","Dynamic array random generator"
"ECS-050","A","official_ms_learn","api_guide","Data types used by Excel","https://learn.microsoft.com/en-us/office/client-developer/excel/data-types-used-by-excel","xloper12|bridge_reference","screened","Guide-only bridge not worksheet semantics spec"
"ECS-051","B","official_ms_blog","history","Preview of Dynamic Arrays in Excel","https://techcommunity.microsoft.com/blog/excelblog/preview-of-dynamic-arrays-in-excel/252944","dynamic_arrays|historical_rollout","screened","Secondary historical context"
"ECS-052","B","official_ms_qna","triangulation","Dynamic Array functions thread with support links","https://learn.microsoft.com/en-us/answers/questions/5047632/dynamic-array-funtions","dynamic_arrays|link_discovery","screened","Secondary triangulation source"
"ECS-053","A","official_ms_support","functions","CUBESET function","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","cube_family|applies_to","screened","Used for cube-context and platform applies-to probe"
"ECS-054","A","official_ms_support","functions","CUBEVALUE function","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","cube_family|applies_to","screened","Used for cube-context and platform applies-to probe"
"ECS-055","A","official_ms_support","functions","GROUPBY function","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","dynamic_array|new_function|applies_to","screened","Used for newer function availability probe"
"ECS-056","A","official_ms_support","functions","PIVOTBY function","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","dynamic_array|new_function|applies_to","screened","Used for newer function availability probe"
"ECS-057","A","official_ms_support","functions","INDIRECT function","https://support.microsoft.com/en-us/office/indirect-function-474b3a3a-8a26-4f44-b491-92b6306fa261","critical_function|reference_indirection","screened","Tier-5 deep semantics anchor"
"ECS-058","A","official_ms_support","functions","OFFSET function","https://support.microsoft.com/en-us/office/offset-function-c8de19ae-dd79-4b9b-a14e-b4d906d11b66","critical_function|reference_shape","screened","Tier-5 deep semantics anchor"
"ECS-059","A","official_ms_support","functions","TODAY function","https://support.microsoft.com/en-us/office/today-function-5eb3078d-a82c-4736-8930-2f51a028fdd9","critical_function|date_serial","screened","Tier-5 deep semantics anchor"
"ECS-060","A","official_ms_support","dates","Date systems in Excel","https://support.microsoft.com/en-us/office/date-systems-in-excel-e7fe7167-48a9-4b96-bb53-5612a800b487","date_system|serial_model","screened","Coercion/date-serial context anchor"
