"source_ref_id","source_kind","upstream_registry","upstream_id","title","path_or_url","status","notes"
"ECS-030","spec_web","research_source_list","ECS-030","Open XML conditional formatting","https://learn.microsoft.com/en-us/office/open-xml/spreadsheet/working-with-conditional-formatting","active","Schema-level CF details."
"ECS-031","spec_web","research_source_list","ECS-031","Merge and unmerge cells","https://support.microsoft.com/en-us/office/merge-and-unmerge-cells-in-excel-5cbd15d5-9375-4540-907f-c673a93fcedf","active","Merge behavior baseline."
"ECS-033","spec_web","research_source_list","ECS-033","Excel specifications and limits","https://support.microsoft.com/en-us/office/excel-specifications-and-limits-1672b34d-7043-467e-8e27-269d656771c3","active","Grid/format/calc limits baseline."
"ECS-062","spec_web","research_source_list","ECS-062","CELL function","https://support.microsoft.com/en-us/office/cell-function-51bd39a5-f338-4dbe-a33f-955d67c2b2cf","active","Formatting/context metadata visibility anchor."
"ECS-063","spec_web","research_source_list","ECS-063","INFO function","https://support.microsoft.com/en-us/office/info-function-725f259a-0e4b-49b3-8b52-58815c69acae","active","Host/context visibility anchor."
"ECS-110","spec_web","research_source_list","ECS-110","TEXT function","https://support.microsoft.com/en-us/office/text-function-20d5ac4d-7b94-49fd-bb38-93d29371225c","active","Explicit format-string conversion anchor."
"ECS-034","spec_web","research_source_list","ECS-034","Compatibility Versions","https://support.microsoft.com/en-us/office/compatibility-versions-49f5d3bf-d9a4-47a3-9db8-e776f664cbf9","active","Workbook compatibility behavior."
"ECS-035","spec_web","research_source_list","ECS-035","Microsoft 365 update channels","https://learn.microsoft.com/en-us/microsoft-365-apps/updates/overview-update-channels","active","Release channel context."
"ECS-036","spec_web","research_source_list","ECS-036","Monthly Enterprise release notes","https://learn.microsoft.com/en-us/officeupdates/monthly-enterprise-channel","active","Versioned rollout context."
"ECS-037","spec_web","research_source_list","ECS-037","Excel recalculation","https://learn.microsoft.com/en-us/office/client-developer/excel/excel-recalculation","active","Volatile/recalc behavior anchor."
"ECS-039","spec_web","research_source_list","ECS-039","NOW function","https://support.microsoft.com/en-us/office/now-function-3337fd29-145a-4347-b2e6-20c904739c46","active","NOW-specific behavior."
"ECS-040","spec_web","research_source_list","ECS-040","RTD function","https://support.microsoft.com/en-us/office/rtd-function-e0cc001a-56f0-470a-9b19-9455dc0eb593","active","RTD baseline function source."
"ECS-041","spec_web","research_source_list","ECS-041","LET function","https://support.microsoft.com/en-us/office/let-function-34842dd8-b92b-4d3f-b325-b8b8f9908999","active","Functional formula semantics."
"ECS-042","spec_web","research_source_list","ECS-042","LAMBDA function","https://support.microsoft.com/en-us/office/lambda-function-bd212d27-1cd1-4321-a34a-ccbf254b8b67","active","Functional formula semantics."
"ECS-049","spec_web","research_source_list","ECS-049","RANDARRAY function","https://support.microsoft.com/en-us/office/randarray-function-21261e55-3bec-4885-86a6-8b0a47fd4d33","active","Dynamic-array generation baseline."
"ECS-053","spec_web","research_source_list","ECS-053","CUBESET function","https://support.microsoft.com/en-us/office/cubeset-function-5b2146bd-62d6-4d04-9d8f-670e993ee1d9","active","CUBE context anchor."
"ECS-054","spec_web","research_source_list","ECS-054","CUBEVALUE function","https://support.microsoft.com/en-us/office/cubevalue-function-8733da24-26d1-4e34-9b3a-84a8f00dcbe0","active","CUBE context anchor."
"ECS-055","spec_web","research_source_list","ECS-055","GROUPBY function","https://support.microsoft.com/en-us/office/groupby-function-5e08ae8c-6800-4b72-b623-c41773611505","active","New function availability anchor."
"ECS-056","spec_web","research_source_list","ECS-056","PIVOTBY function","https://support.microsoft.com/en-us/office/pivotby-function-de86516a-90ad-4ced-8522-3a25fac389cf","active","New function availability anchor."
"ECS-057","spec_web","research_source_list","ECS-057","INDIRECT function","https://support.microsoft.com/en-us/office/indirect-function-474b3a3a-8a26-4f44-b491-92b6306fa261","active","Tier-5 critical function anchor."
"ECS-058","spec_web","research_source_list","ECS-058","OFFSET function","https://support.microsoft.com/en-us/office/offset-function-c8de19ae-dd79-4b9b-a14e-b4d906d11b66","active","Tier-5 critical function anchor."
"ECS-059","spec_web","research_source_list","ECS-059","TODAY function","https://support.microsoft.com/en-us/office/today-function-5eb3078d-a82c-4736-8930-2f51a028fdd9","active","Tier-5 critical function anchor."
"ECS-060","spec_web","research_source_list","ECS-060","Date systems in Excel","https://support.microsoft.com/en-us/office/date-systems-in-excel-e7fe7167-48a9-4b96-bb53-5612a800b487","active","Date serial behavior anchor."
"ECS-108","spec_web","research_source_list","ECS-108","SUMIF function","https://support.microsoft.com/en-us/office/sumif-function-169b8c99-c05c-4483-a712-1697a653039b","active","SUMIF function reference for mixed-signal lane."
"ECS-109","spec_web","research_source_list","ECS-109","SIN function","https://support.microsoft.com/en-us/office/sin-function-cf0e3432-8b9e-483c-bc55-a76651c95602","active","Baseline trigonometric function contract (thin, user-facing)."
"ECS-113","spec_web","research_source_list","ECS-113","ASIN function","https://support.microsoft.com/en-us/office/asin-function-81fb95e5-6d6f-48c4-bc45-58f955c6d347","active","Inverse trig domain contract anchor for numeric-domain errors."
"ECS-114","spec_web","research_source_list","ECS-114","IFS function","https://support.microsoft.com/en-us/office/ifs-function-36329a26-37b2-467c-972b-4a39bd951d45","active","Contains explicit \"too few arguments\" user-visible formula admission error signal."
"ECS-115","spec_web","research_source_list","ECS-115","Formula errors in Excel","https://learn.microsoft.com/en-us/troubleshoot/microsoft-365-apps/excel/formula-errors","active","General formula entry/parse error guidance."
"REFX-001","spec_mirror","reference_index","MS-XLSX","MS-XLSX mirrored spec page","C:/Work/DnaCalc/Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/office_standards/ms-xlsx/2c5dee00-eff2-4b22-92b6-0738acd4475e.md","active","Formal spec mirror for XLSX behavior."
"REFX-002","spec_mirror","reference_index","MS-XLS","MS-XLS mirrored spec page","C:/Work/DnaCalc/Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/office_file_formats/ms-xls.md","active","Binary XLS structure spec mirror."
"REFX-003","spec_mirror","reference_index","MS-XLSB","MS-XLSB mirrored spec page","C:/Work/DnaCalc/Foundation/reference/downloads/learn.microsoft.com/en-us/openspecs/office_file_formats/ms-xlsb.md","active","Binary XLSB structure spec mirror."
"REFX-004","spec_mirror","reference_index","MS-OI29500","MS-OI29500 mirror bundle","C:/Work/DnaCalc/Foundation/reference/downloads/officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OI29500/","active","Implementation notes for ISO 29500."
"REFX-005","spec_mirror","reference_index","MS-OE376","MS-OE376 mirror bundle","C:/Work/DnaCalc/Foundation/reference/downloads/officeprotocoldocs-f5hpbjgea6b8gneq.b02.azurefd.net/files/MS-OE376/","active","Implementation notes for ECMA 376."
"REFX-006","spec_run_extract","reference_run","specproc-20260304-231650","Formatting formal findings summary (focused pass)","C:/Work/DnaCalc/Foundation/reference/runs/20260305-ms-formatting-formal-pass-01/outputs/FORMATTING_FORMAL_FINDINGS.md","active","Curated high-signal anchors from MS-OI29500/MS-OE376 formatting extraction."
"REFX-010","spec_run_extract","reference_run","specproc-20260304-231650","Formatting hierarchy findings summary (focused pass)","C:/Work/DnaCalc/Foundation/reference/runs/20260305-ms-formatting-formal-pass-01/outputs/FORMATTING_HIERARCHY_FINDINGS.md","active","Curated style-hierarchy/default/visibility anchors from MS-OI29500/MS-OE376/MS-XLSX extraction."
"INT-001","internal_normative","foundation_docs","FEC-F3E-SPEC","FEC/F3E redesign spec current","C:/Work/DnaCalc/OxFml/docs/spec/fec-f3e/FEC_F3E_REDESIGN_SPEC.md","active","Canonical seam contract in OxFml; Foundation keeps read-only mirror copy."
"INT-002","internal_normative","foundation_docs","FEC-F3E-SYNTH","FEC/F3E redesign synthesis/observations current","C:/Work/DnaCalc/OxFml/docs/spec/fec-f3e/FEC_F3E_REDESIGN_SYNTHESIS.md","active","Canonical synthesis-observation baseline in OxFml; Foundation keeps read-only mirror copy."
"INT-003","internal_normative","foundation_docs","FEC-F3E-PROTO-MATRIX","FEC/F3E redesign protocol conformance matrix current","C:/Work/DnaCalc/OxFml/docs/spec/fec-f3e/FEC_F3E_PROTOCOL_CONFORMANCE_MATRIX.csv","active","Canonical protocol matrix in OxFml; Foundation keeps read-only mirror copy."
"INT-004","internal_normative","foundation_docs","ARCH-LANE-BOUNDARY","Architecture lane boundary note (OxFml/OxFunc/FEC)","C:/Work/DnaCalc/Foundation/ARCHITECTURE_AND_REQUIREMENTS.md","active","Architecture-level ownership boundary reference."
"EMP-0001","empirical","empirical_registry","EMP-0001","Double comma formula accepted","reference/empirical/findings/EMP-0001-formula-double-comma-accepted.md","active","Promoted empirical counter-signal."
"EMP-0002","empirical","empirical_registry","EMP-0002","Dot-field accepted, field error","reference/empirical/findings/EMP-0002-dotfield-accepted-field-error.md","active","Promoted empirical probe signal."
"EMP-0003","empirical","empirical_registry","EMP-0003","Aggregate coercion counter-signal","reference/empirical/findings/EMP-0003-aggregate-range-text-coercion-counter-signal.md","active","Promoted empirical counter-signal."
"EMP-0004","empirical","empirical_registry","EMP-0004","CF spill-target color mismatch","reference/empirical/findings/EMP-0004-cf-spill-target-color-counter-signal.md","active","Promoted empirical counter-signal."
"EMP-0005","empirical","empirical_registry","EMP-0005","Table spill growth mismatch","reference/empirical/findings/EMP-0005-table-structref-spill-growth-counter-signal.md","active","Promoted empirical counter-signal."
"EMP-0006","empirical","empirical_registry","EMP-0006","RTD lifecycle baseline","reference/empirical/findings/EMP-0006-rtd-lifecycle-baseline.md","active","Promoted empirical baseline."
"EMP-0007","empirical","empirical_registry","EMP-0007","Date-system baseline","reference/empirical/findings/EMP-0007-date-system-cross-workbook-baseline.md","active","Promoted empirical baseline."
"EMP-0008","empirical","empirical_registry","EMP-0008","Volatility context controls","reference/empirical/findings/EMP-0008-volatility-context-controls.md","active","Promoted empirical baseline."
"EMP-0009","empirical","empirical_registry","EMP-0009","SUMIF mixed signal","reference/empirical/findings/EMP-0009-sumif-mixed-reason-code-signal.md","active","Promoted empirical counter-signal."
"EMP-0010","empirical","empirical_registry","EMP-0010","Dynamic-array mixed-type counter-signals","reference/empirical/findings/EMP-0010-dynamic-array-mixed-type-counter-signals.md","active","Promoted empirical counter-signal."
"EMP-0011","empirical","empirical_registry","EMP-0011","External reference open-state policy","reference/empirical/findings/EMP-0011-external-reference-open-state-policy.md","active","Promoted empirical provisional lane."
"EMP-0012","empirical","empirical_registry","EMP-0012","Direct merge/unmerge capture","reference/empirical/findings/EMP-0012-direct-merge-unmerge-capture.md","active","Promoted empirical confirmed baseline."
