"req_id","domain","title","statement","status","claim_confidence","assurance_maturity","evidence_ids","implementation_priority","test_priority","notes"
"XLS-CF-FL-012","formula_language","Function call admission vs runtime error boundary","Function-call conformance shall explicitly distinguish parse-time formula rejection from accepted-formula runtime error outcomes, including required-argument omission and array-lifted element error behavior.","provisional","provisional","exercised","ECS-008;ECS-109;ECS-113;ECS-114;ECS-115","P1","P0","Current public sources are thin for per-function coercion/array semantics; empirical matrix is mandatory."
"XLS-CF-FN-001","functions","Function universe baseline","In-scope built-in worksheet function set shall match the 500-function baseline catalog from prior run corpus.","normative","draft","exercised","ECS-001;ECS-002","P0","P0","Catalog source: research run function_catalog_full.csv."
"XLS-CF-FN-002","functions","Tiered classification baseline","Interesting-function triage shall use the existing 5-tier model as compatibility test prioritization guidance.","normative","draft","exercised","ECS-001;ECS-002","P0","P1","Tier model drives depth and probe cadence."
"XLS-CF-FN-003","functions","Tier-5 critical semantics","Tier-5 critical functions (`INDIRECT`,`OFFSET`,`NOW`,`TODAY`,`RTD`) shall have explicit semantic and empirical conformance lanes.","normative","draft","exercised","ECS-039;ECS-040;ECS-057;ECS-058;ECS-059","P0","P0","Critical-risk functions require strongest evidence discipline."
"XLS-CF-FN-004","functions","CUBE family inclusion","CUBE worksheet functions shall be included in conformance scope with context-aware caveats; MDX internals remain out of scope.","normative","draft","exercised","ECS-053;ECS-054","P1","P1","List completeness is required even when depth is deferred."
"XLS-CF-FN-005","functions","Functional formula features","LET/LAMBDA and helper-family behavior shall be supported and tested as distinct high-interest semantics.","normative","draft","exercised","ECS-041;ECS-042","P0","P0","Helper-family conformance is required for modern formula workloads."
"XLS-CF-FN-006","functions","Dynamic-array generator features","Dynamic-array generation functions (for example RANDARRAY/SEQUENCE/GROUPBY/PIVOTBY family) shall be compatibility-tracked.","normative","draft","exercised","ECS-049;ECS-055;ECS-056","P1","P1","Availability and behavior can vary by build/channel."
"XLS-CF-FN-007","functions","External dependency function caveats","Externally dependent functions (RTD, WEBSERVICE/FILTERXML/STOCKHISTORY, CUBE) shall be explicitly capability-gated.","normative","draft","exercised","ECS-040;ECS-053;ECS-054;ECS-037","P1","P0","Capability profile must expose unavailable/not-supported states."
"XLS-CF-FN-008","functions","Volatility and invalidation classes","Volatile vs non-volatile vs externally-invalidated behavior shall be tested as separate invalidation paths.","normative","draft","exercised","ECS-037;ECS-039;EMP-0008","P0","P0","Separate invalidation lanes are required for deterministic debugging."
"XLS-CF-FN-009","functions","SUMIF mixed-signal handling","SUMIF reason-code behavior is provisional and shall remain an explicit open compatibility lane.","provisional","provisional","exercised","ECS-108;EMP-0009","P2","P0","Do not assume stable classification until expanded evidence exists."
"XLS-CF-FN-010","functions","RTD lifecycle baseline","RTD lifecycle baseline behavior from empirical wave1 is a required conformance lane for supported platforms.","normative","draft","exercised","ECS-040;EMP-0006","P1","P0","Includes close/open and missing-progid controls."
"XLS-CF-FN-011","functions","Dynamic-array mixed-type counter-signals","Mixed-type dynamic-array counter-signals shall remain provisional and tracked as explicit unresolved compatibility lanes.","provisional","provisional","exercised","EMP-0010","P2","P0","Retained counter-signals from unresolved wave2 replay."
"XLS-CF-TV-001","value_types","Type predicates","TYPE and IS-family predicates shall align with worksheet-visible value category behavior.","normative","draft","exercised","ECS-017","P0","P0","Include arrays, errors, text, logical, numeric fixtures."
"XLS-CF-TV-002","value_types","N conversion","N conversion behavior shall match documented conversion table semantics.","normative","draft","exercised","ECS-018","P0","P0","Include booleans, text, dates, errors."
"XLS-CF-TV-003","value_types","VALUE conversion","VALUE conversion shall follow documented text-to-number semantics with locale caveat handling.","normative","draft","exercised","ECS-019","P0","P0","Locale axis required in conformance matrix."
"XLS-CF-TV-004","value_types","VALUETOTEXT conversion","VALUETOTEXT behavior shall be implemented with mode-aware rendering semantics.","normative","draft","exercised","ECS-020","P1","P1","Error rendering and mode differences required."
"XLS-CF-TV-005","value_types","Linked data types and fields","Linked/compound data type field access semantics shall follow worksheet-visible behavior.","normative","draft","exercised","ECS-021;ECS-024;ECS-025","P1","P1","Extended types kept shallow but explicit."
"XLS-CF-TV-006","value_types","Date system semantics","1900/1904 date-system behavior and workbook transfer semantics shall be implemented and empirically validated.","normative","draft","exercised","ECS-060;EMP-0007","P0","P0","Includes formula copy vs raw serial copy distinction."
"XLS-CF-TV-007","value_types","Operator coercion baseline","Operator coercion behavior shall follow current truth-table baseline for arithmetic/comparison/concat contexts.","normative","draft","exercised","ECS-003;ECS-018;ECS-019","P0","P0","Coercion matrix rows must be versioned."
"XLS-CF-TV-008","value_types","Aggregate range coercion counter-signal","Mixed text+numeric range coercion for aggregates remains provisional and must stay explicitly tracked.","provisional","provisional","exercised","EMP-0003","P2","P0","Retained mismatch rows CW1-022/024/025."
"XLS-CF-TV-009","value_types","Nested precedence/coercion edge cases","Nested/unary precedence and compatibility syntax ambiguities shall remain explicit empirical conformance lanes.","normative","draft","exercised","ECS-003;EMP-0010","P1","P1","Use dedicated ambiguity fixture corpus."
"XLS-CF-TB-001","tables","Structured-reference syntax","Table structured-reference syntax shall be supported in formula parse/eval pipelines.","normative","draft","exercised","ECS-012","P0","P0","Includes `[#This Row]` and column selectors."
"XLS-CF-TB-002","tables","Calculated columns and autofill","Calculated columns shall auto-propagate and remain stable under append/edit operations.","normative","draft","exercised","ECS-013;ECS-014","P0","P0","Desktop and web caveat coverage required."
"XLS-CF-TB-003","tables","Auto-expand behavior","Table auto-expand behavior shall be implemented for row growth with formula continuation semantics.","normative","draft","exercised","ECS-013;ECS-014","P0","P0","Growth operations must preserve table semantics."
"XLS-CF-TB-004","tables","Structured-reference spill interactions","Structured-reference and spill interactions are required conformance lanes with explicit provisional mismatch tracking.","provisional","provisional","exercised","ECS-012;EMP-0005","P2","P0","TBW1-002 retained as unresolved counter-signal."
"XLS-CF-TB-005","tables","Platform caveats for tables","Table behavior differences across desktop/web shall be represented as explicit caveat metadata, not silent divergence.","normative","draft","exercised","ECS-014;ECS-034","P1","P1","Union behavior target with caveat ledger."
"XLS-CF-FM-001","formatting","Number format grammar","Number format code grammar shall implement worksheet-visible behavior, including formal ABNF-backed lanes and international-profile adjustments.","normative","draft","exercised","ECS-026;ECS-027;REFX-004;REFX-005;REFX-006","P0","P0","Custom format sections must be validated; locale-profile variants are required."
"XLS-CF-FM-002","formatting","Rendered formatting behavior","Rendered text outcomes for canonical custom/built-in formats shall be tested in conformance fixtures.","normative","draft","exercised","ECS-026;ECS-027","P1","P1","Include date/time and text section behavior."
"XLS-CF-FM-003","formatting","Merge/unmerge behavior","Merge/unmerge operations shall preserve worksheet-visible constraints and deterministic outcomes.","normative","draft","exercised","ECS-031;EMP-0012","P1","P1","Include interactions with formulas and spills; direct merge-state capture now anchored empirically."
"XLS-CF-FM-004","formatting","Conditional formatting baseline","CF rule application, overlap, and priority ordering shall follow captured baseline behavior and formal precedence-order anchors.","normative","draft","exercised","ECS-028;ECS-029;ECS-030;REFX-004;REFX-005;REFX-006","P1","P1","Stop-if-true and priority transitions required."
"XLS-CF-FM-005","formatting","CF spill-target mismatch lane","CF behavior on spill targets remains provisional and must stay in explicit mismatch lane.","provisional","provisional","exercised","ECS-028;ECS-030;EMP-0004","P2","P0","Do not collapse this into normative truth yet."
"XLS-CF-FM-006","formatting","Formatting limits","Formatting implementation shall respect documented Excel limits relevant to this scope.","normative","draft","exercised","ECS-033","P1","P1","Limits are part of compatibility contract."
"XLS-CF-FM-007","formatting","Number-format underspec policy","Where formal sources leave `formatCode` bounds/content and `numFmtId` defaults unspecified, the engine shall keep explicit policy lanes and empirical closure tests.","provisional","provisional","exercised","REFX-004;REFX-005;REFX-006","P1","P0","Do not hide underspecified behavior behind implicit defaults."
"XLS-CF-FM-008","formatting","Conditional-format formula grammar restrictions","Conditional-format formula parsing/evaluation shall enforce the formal restriction lane (no array constants, no structured references, no union/intersection operators, no 3-D references).","normative","draft","exercised","ECS-030;REFX-004;REFX-005;REFX-006","P1","P1","Capture any Excel build divergence as explicit provisional caveat, not parser drift."
"XLS-CF-FM-009","formatting","Style hierarchy model","Formatting implementation shall model workbook style tables (`cellStyleXfs`/`cellXfs`/style index) and differential-format overlays as explicit layers.","normative","draft","exercised","REFX-004;REFX-005;REFX-010","P0","P0","Do not collapse style tables into ad-hoc per-cell state."
"XLS-CF-FM-010","formatting","Style precedence conflict lanes","Effective-format precedence across row/column/cell/table/conditional-format layers shall be represented and tested as explicit conflict lanes.","provisional","provisional","exercised","ECS-030;REFX-006;REFX-010","P1","P0","Keep unresolved precedence collisions explicit until empirical closure."
"XLS-CF-FM-011","formatting","Defaults origin policy","Default formatting behavior (font/size/base style/sheet defaults) shall be treated as workbook/profile-derived and validated empirically per environment profile.","provisional","provisional","exercised","REFX-004;REFX-005;REFX-010","P1","P0","Avoid hardcoded default claims without profile-bound evidence."
"XLS-CF-FM-012","formatting","Locale formatting profile interaction","Locale/regional profile effects on format parse/render behavior shall be represented as explicit conformance axes.","normative","draft","exercised","ECS-026;ECS-027;REFX-006;REFX-010","P0","P0","Locale profile must not silently redefine core value semantics."
"XLS-CF-FM-013","formatting","Formula-visible formatting introspection","Formatting-observation behavior through formula functions (`TEXT`, `CELL`, `INFO`) shall be explicitly characterized and tested.","provisional","provisional","exercised","ECS-110;ECS-062;ECS-063;REFX-010","P1","P0","Distinguish explicit format-string conversion from ambient-style introspection."
"XLS-CF-FM-014","formatting","Conditional-format visibility to formulas","Whether conditional-format effective style is formula-observable shall remain an explicit provisional lane until bounded by empirical evidence.","provisional","provisional","exercised","ECS-030;ECS-062;ECS-063;REFX-010","P1","P0","Document any supported legacy compatibility pathways separately from core formula semantics."
"XLS-CF-VP-001","version_platform","Compatibility versions","Workbook compatibility-version behavior shall be treated as a first-class conformance axis.","normative","draft","exercised","ECS-034","P1","P1","Version-sensitive behavior must be auditable."
"XLS-CF-VP-002","version_platform","Channel/release awareness","Function and behavior availability shall be tracked against channel/release metadata where applicable.","normative","draft","exercised","ECS-035;ECS-036","P1","P1","Do not assume simultaneous rollout across channels."
"XLS-CF-VP-003","version_platform","Platform capability profile","Conformance runs shall emit platform capability profile and applies-to mapping artifacts.","normative","draft","exercised","ECS-035;ECS-036","P1","P1","Union-first target with explicit caveat rows."
"XLS-CF-VP-004","version_platform","Empirical environment provenance","Empirical-backed requirements shall include Excel version/build/hash and runner/tool metadata.","normative","draft","exercised","EMP-0006;EMP-0007;EMP-0008;EMP-0011;EMP-0012","P0","P0","Required for reproducibility and conflict triage."
"XLS-CF-VP-005","version_platform","Refresh and drift control","Drift-sensitive behaviors shall be rechecked on dated cadence with explicit regression logging.","normative","draft","exercised","ECS-035;ECS-036;EMP-0008","P1","P1","Refresh loop is required for unstable surfaces."
"XLS-CF-EV-001","evidence_doctrine","Evidence id requirement","Every conformance requirement shall cite one or more evidence ids resolvable via SOURCE_BINDINGS.","normative","draft","exercised","ECS-001;REFX-001;EMP-0001","P0","P0","No uncited requirement rows."
"XLS-CF-EV-002","evidence_doctrine","Spec/empirical dual-source model","Conformance source model shall support spec-derived and empirical-derived evidence lineages.","normative","draft","exercised","REFX-001;EMP-0006","P0","P0","Use SPEC/EMP lineage consistently."
"XLS-CF-EV-003","evidence_doctrine","Conflict retention rule","When empirical signals conflict with spec interpretation, both shall remain explicit until reconciled.","normative","draft","exercised","EMP-0003;EMP-0004;EMP-0005","P0","P0","No silent overwrites."
"XLS-CF-EV-004","evidence_doctrine","Provisional gating","Requirements marked provisional shall not be used as sole release gate without explicit waiver.","normative","draft","exercised","EMP-0001;EMP-0009;EMP-0010","P0","P0","Provisional status must remain visible."
"XLS-CF-EV-005","evidence_doctrine","Executable traceability","Conformance tests shall record requirement id bindings in emitted evidence bundles.","normative","draft","exercised","ECS-037;EMP-0008","P0","P0","Requirement-to-test trace matrix is mandatory."
"XLS-CF-FEC-PR-001","fec_protocol","Transactional seam sequence","FEC/F3E implementations shall enforce deterministic `prepare -> open_session/capability_view -> execute -> commit` lifecycle sequencing with explicit transition checks.","normative","draft","exercised","INT-001;INT-002;INT-003","P0","P0","Aligned to current redesign seam contract."
"XLS-CF-FEC-PR-002","fec_protocol","Session-bound capability gating","Evaluation shall observe only capabilities declared by expression/function contracts and accepted in the active session capability view.","normative","draft","exercised","INT-001;INT-002;INT-003","P0","P0","Capability decisions must be commit-validated."
"XLS-CF-FEC-PR-003","fec_protocol","Token and dependency delta lifecycle","Formula/session tokens and runtime dependency deltas shall be versioned, replay-observable, and deterministically retired/replaced on semantic changes.","normative","draft","exercised","INT-001;INT-002;INT-003","P0","P0","No hidden token reuse or untracked dependency delta mutation."
"XLS-CF-FEC-PR-004","fec_protocol","Typed reject and conflict semantics","Commit reject outcomes shall map to stable machine-typed classes with deterministic conflict context (token/snapshot/capability) suitable for replay diagnostics.","normative","draft","exercised","INT-001;INT-002;INT-003","P0","P0","Reject semantics are protocol surface, not logging-only text."
"XLS-CF-FEC-REF-001","fec_ref","ID-first seam identity","FEC/F3E seam payloads shall use explicit stable typed identities (`formula_stable_id`, `FecNameId`, `FecRangeId`) rather than label strings as dependency identity.","normative","draft","exercised","INT-001;INT-002","P0","P0","Names/labels remain metadata only in traces."
"XLS-CF-FEC-REF-002","fec_ref","Deterministic resolver/reject mapping","Reference and commit resolver failures shall map to deterministic version-scoped reject behavior with explicit structured context.","normative","draft","exercised","INT-001;INT-002;INT-003","P0","P0","Resolver fallbacks must be explicit policy, never silent coercion."
"XLS-CF-FEC-REF-003","fec_ref","Capability-denial behavior","When capability policy denies required facilities, evaluation and commit shall produce explicit deterministic denial outcomes and diagnostics.","normative","draft","exercised","INT-001;INT-002;INT-003","P0","P0","Capability denial is a first-class conformance surface."
"XLS-CF-FEC-REF-004","fec_ref","Trace/provenance metadata contract","Seam outcomes used by scheduler/replay tooling shall carry provenance metadata (trace schema version, delta provenance, and identity context) sufficient for deterministic triage.","normative","draft","exercised","INT-001;INT-002","P1","P0","Trace schema contract is mandatory for cross-engine replay audits."
"XLS-CF-TV-010","value_types","Numeric edge observability in formula-only evaluation","Formula-only evaluation lanes shall define version-scoped behavior for -0, infinities, NaN, and subnormal inputs/outputs.","provisional","provisional","exercised","ECS-109;ECS-113;INT-001","P1","P0","Requires dedicated empirical replay matrix before validation."
"XLS-CF-TV-011","value_types","Numeric edge observability in sheet materialization","Sheet materialization lanes (cell storage/display/error surfacing) shall define version-scoped behavior for -0, infinities, NaN, and subnormals.","provisional","provisional","exercised","REFX-001;INT-001","P1","P0","Materialization outcomes must be replay-bound with build metadata."
"XLS-CF-TV-012","value_types","Numeric edge observability in reference reuse","Reference reuse lanes shall define how numeric edge values (-0, infinities, NaN, subnormals) propagate when consumed through references/ranges.","provisional","provisional","exercised","INT-001;INT-002","P1","P0","Includes dereference/coercion boundaries and array propagation behavior."
"XLS-CF-TV-013","value_types","Numeric edge observability in interop ingestion","Interop ingestion lanes shall define version-scoped handling for incoming numeric edge values (-0, infinities, NaN, subnormals) with explicit replay obligations.","provisional","provisional","exercised","REFX-001;REFX-004;INT-001","P1","P0","Ingestion differences must be traceable to source format/profile and build metadata."
