"scenario_id","task_id","priority","domain","fixture","scenario_file","status","notes"
"FMLP2-018","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-018.xlsx","scenarios/FMLP2-018.json","completed","FPCP2-018|helper_forms|expected=rejected|profile=baseline"
"FMLP2-019","ECS-EB-035","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-019.xlsx","scenarios/FMLP2-019.json","completed","FPCP2-019|name_resolution|expected=probe|profile=name_shadowing"
"FMLP2-020","ECS-EB-035","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-020.xlsx","scenarios/FMLP2-020.json","completed","FPCP2-020|name_resolution|expected=probe|profile=workbook_name"
"FMLP2-021","ECS-EB-036","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-021.xlsx","scenarios/FMLP2-021.json","completed","FPCP2-021|external_reference|expected=probe|profile=external_workbook_present"
"FMLP2-022","ECS-EB-036","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-022.xlsx","scenarios/FMLP2-022.json","completed","FPCP2-022|external_reference|expected=probe|profile=external_workbook_missing"
"FMLP2-023","ECS-EB-037","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-023.xlsx","scenarios/FMLP2-023.json","completed","FPCP2-023|structured_reference|expected=accepted|profile=table_tblparse"
"FMLP2-024","ECS-EB-037","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-024.xlsx","scenarios/FMLP2-024.json","completed","FPCP2-024|structured_reference|expected=accepted|profile=table_tblparse"
"FMLP2-025","ECS-EB-037","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-025.xlsx","scenarios/FMLP2-025.json","completed","FPCP2-025|structured_reference|expected=probe|profile=table_tblparse"
"FMLP2-026","ECS-EB-037","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-026.xlsx","scenarios/FMLP2-026.json","completed","FPCP2-026|structured_reference|expected=rejected|profile=table_tblparse"
"FMLP2-027","ECS-EB-038","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-027.xlsx","scenarios/FMLP2-027.json","completed","FPCP2-027|at_hash_interaction|expected=probe|profile=spill_anchor"
"FMLP2-028","ECS-EB-038","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-028.xlsx","scenarios/FMLP2-028.json","completed","FPCP2-028|at_hash_interaction|expected=probe|profile=spill_anchor"
"FMLP2-029","ECS-EB-038","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-029.xlsx","scenarios/FMLP2-029.json","completed","FPCP2-029|at_hash_interaction|expected=probe|profile=baseline"
"FMLP2-030","ECS-EB-039","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-030.xlsx","scenarios/FMLP2-030.json","completed","FPCP2-030|normalization|expected=accepted|profile=table_tblparse"
"FMLP2-031","ECS-EB-039","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-031.xlsx","scenarios/FMLP2-031.json","completed","FPCP2-031|normalization|expected=probe|profile=workbook_name"
"FMLP2-032","ECS-EB-040","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-032.xlsx","scenarios/FMLP2-032.json","completed","FPCP2-032|precedence|expected=accepted|profile=baseline"
"FMLP2-033","ECS-EB-040","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-033.xlsx","scenarios/FMLP2-033.json","completed","FPCP2-033|precedence|expected=accepted|profile=baseline"
"FMLP2-034","ECS-EB-040","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-034.xlsx","scenarios/FMLP2-034.json","completed","FPCP2-034|precedence|expected=probe|profile=baseline"
"FMLP2-035","ECS-EB-040","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-035.xlsx","scenarios/FMLP2-035.json","completed","FPCP2-035|precedence|expected=probe|profile=baseline"
"FMLP2-036","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-036.xlsx","scenarios/FMLP2-036.json","completed","FPCP2-036|helper_forms|expected=probe|profile=baseline"
"FMLP2-037","ECS-EB-034","P1","formula_parse","research/runs/20260302-070309-excel-formula-language-pass2-pack-01/fixtures/formula_parse_pass2/FMLP2-037.xlsx","scenarios/FMLP2-037.json","completed","FPCP2-037|helper_forms|expected=probe|profile=baseline"
