"case_id","scenario_id","probe_id","task_id","probe_kind","target_rules","fixture_profile","manual_prep_required","manual_prep_note","formula_input","target_cell","expected_outcome_class","expected_result_hint","observed_acceptance","result_class","run_exit_status","edit_operation_status","edit_operation_message","linked_data_operation_status","linked_data_operation_message","support_workbook_operation_status","support_workbook_operation_message","stored_formula_initial","stored_formula_final","normalization_changed","final_value","final_display_text","final_number_format","step_count","evidence_exists","evidence_bundle_ref","notes"
"FPCP2-027","FMLP2-027","P2-FML-008","ECS-EB-038","at_hash_interaction","FML-R-003;FML-R-004;FML-R-005","spill_anchor","False","","=@A1#","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=A1#","true","10","10","General","4","True","evidence\FMLP2-027","Combined @ and # in spill context."
"FPCP2-028","FMLP2-028","P2-FML-008","ECS-EB-038","at_hash_interaction","FML-R-003;FML-R-005","spill_anchor","False","","=@SEQUENCE(3)","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=SEQUENCE(3)","true","1","1","General","4","True","evidence\FMLP2-028","@ with dynamic array producer."
"FPCP2-029","FMLP2-029","P2-FML-008","ECS-EB-038","at_hash_interaction","FML-R-004;FML-R-005","baseline","False","","=A1#","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=A1#","false","-2146826265","#REF!","General","4","True","evidence\FMLP2-029","# on non-spill anchor behavior."
"FPCP2-030","FMLP2-030","P2-FML-009","ECS-EB-039","normalization","FML-R-007","table_tblparse","False","","=sum(tblparse[amount])","Sheet1!D1","accepted","","accepted","matches_expected","success","ok","","","","","","0","=SUM(TblParse[Amount])","true","30","30","General","5","True","evidence\FMLP2-030","Normalization of function/table/column casing."
"FPCP2-031","FMLP2-031","P2-FML-009","ECS-EB-039","normalization","FML-R-007","workbook_name","False","","=sum(MyName)","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=SUM(MyName)","true","1","1","General","4","True","evidence\FMLP2-031","Normalization with workbook names."
"FPCP2-032","FMLP2-032","P2-FML-010","ECS-EB-040","precedence","FML-R-001;FML-R-002","baseline","False","","=1+2*3","Sheet1!D1","accepted","7","accepted","matches_expected","success","ok","","","","","","0","=1+2*3","false","7","7","General","4","True","evidence\FMLP2-032","Arithmetic precedence baseline."
"FPCP2-033","FMLP2-033","P2-FML-010","ECS-EB-040","precedence","FML-R-001;FML-R-002","baseline","False","","=(1+2)*3","Sheet1!D1","accepted","9","accepted","matches_expected","success","ok","","","","","","0","=(1+2)*3","false","9","9","General","4","True","evidence\FMLP2-033","Parenthesis precedence baseline."
"FPCP2-034","FMLP2-034","P2-FML-010","ECS-EB-040","precedence","FML-R-001;FML-R-002","baseline","False","","=-2^2","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=-2^2","false","4","4","General","4","True","evidence\FMLP2-034","Unary vs exponent precedence discriminator."
"FPCP2-035","FMLP2-035","P2-FML-010","ECS-EB-040","precedence","FML-R-001;FML-R-002","baseline","False","","=1+2&3","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=1+2&3","false","33","33","General","4","True","evidence\FMLP2-035","Addition vs concatenation precedence discriminator."
"FPCP2-036","FMLP2-036","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=BYCOL(A1:C3,LAMBDA(c,SUM(c)))","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=BYCOL(A1:C3,LAMBDA(c,SUM(c)))","false","6","6","General","4","True","evidence\FMLP2-036","Helper BYCOL availability and grammar."
"FPCP2-037","FMLP2-037","P2-FML-004","ECS-EB-034","helper_forms","FML-R-006","baseline","False","","=REDUCE(0,A1:A3,LAMBDA(a,b,a+b))","Sheet1!D1","probe","","accepted","probe","success","ok","","","","","","0","=REDUCE(0,A1:A3,LAMBDA(a,b,a+b))","false","6","6","General","4","True","evidence\FMLP2-037","Helper REDUCE availability and grammar."
