"score_id","case_id","scenario_id","task_id","source_task_id","family","confidence_input","confidence_output","result_status","follow_up_required","confidence_reason","evidence_bundle_ref","notes"
"CCW1-CW1-019","CW1-019","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","medium","medium","probe","true","probe_expected_requires_interpretation","evidence\SCN-EB025-FUNCTION-CORE","VALUETOTEXT rendering probe"
"CCW1-CW1-020","CW1-020","SCN-EB025-FUNCTION-CORE","ECS-EB-027","ECS-EB-025","function","medium","medium","probe","true","probe_expected_requires_interpretation","evidence\SCN-EB025-FUNCTION-CORE","VALUETOTEXT error rendering probe"
"CCW1-CW1-021","CW1-021","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB025-AGG-COERCION","SUM direct-arg text numeric coercion"
"CCW1-CW1-022","CW1-022","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","medium","low","mismatch","true","empirical_counter_signal","evidence\SCN-EB025-AGG-COERCION","SUM range text handling"
"CCW1-CW1-023","CW1-023","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB025-AGG-COERCION","AVERAGE direct-arg coercion"
"CCW1-CW1-024","CW1-024","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","medium","low","mismatch","true","empirical_counter_signal","evidence\SCN-EB025-AGG-COERCION","AVERAGE range text handling"
"CCW1-CW1-025","CW1-025","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","high","low","mismatch","true","empirical_counter_signal","evidence\SCN-EB025-AGG-COERCION","COUNT range handling"
"CCW1-CW1-026","CW1-026","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","high","high","matches_expected","false","empirical_support","evidence\SCN-EB025-AGG-COERCION","COUNTA range handling"
"CCW1-CW1-027","CW1-027","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB025-AGG-COERCION","SUMPRODUCT unary coercion"
"CCW1-CW1-028","CW1-028","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","low","low","probe","true","probe_expected_requires_interpretation","evidence\SCN-EB025-AGG-COERCION","IF logical coercion probe non-empty text"
"CCW1-CW1-029","CW1-029","SCN-EB025-AGG-COERCION","ECS-EB-027","ECS-EB-025","function","low","low","probe","true","probe_expected_requires_interpretation","evidence\SCN-EB025-AGG-COERCION","IF logical coercion probe empty text"
"CCW1-CW1-030","CW1-030","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","high","high","matches_expected","false","empirical_support","evidence\SCN-EB026-NESTED-PRECEDENCE","precedence baseline"
"CCW1-CW1-031","CW1-031","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","high","high","matches_expected","false","empirical_support","evidence\SCN-EB026-NESTED-PRECEDENCE","parentheses override precedence"
"CCW1-CW1-032","CW1-032","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB026-NESTED-PRECEDENCE","nested unary coercion precedence"
"CCW1-CW1-033","CW1-033","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB026-NESTED-PRECEDENCE","concat after addition precedence"
"CCW1-CW1-034","CW1-034","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","medium","high","matches_expected","false","empirical_support","evidence\SCN-EB026-NESTED-PRECEDENCE","addition before concat precedence"
"CCW1-CW1-035","CW1-035","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","high","high","matches_expected","false","empirical_support","evidence\SCN-EB026-NESTED-PRECEDENCE","power precedence"
"CCW1-CW1-036","CW1-036","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","low","low","probe","true","probe_expected_requires_interpretation","evidence\SCN-EB026-NESTED-PRECEDENCE","unary minus with exponent precedence probe"
"CCW1-CW1-037","CW1-037","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","high","high","matches_expected","false","empirical_support","evidence\SCN-EB026-NESTED-PRECEDENCE","parenthesized negative exponent"
"CCW1-CW1-038","CW1-038","SCN-EB026-NESTED-PRECEDENCE","ECS-EB-027","ECS-EB-026","compat_precedence","low","low","probe","true","probe_expected_requires_interpretation","evidence\SCN-EB026-NESTED-PRECEDENCE","compatibility syntax ambiguity probe current build only"
